يُمْكِنُ 	 مكن
خَتَمَ 	 ختم
سَعَرَ 	 سعر
قَلِعَ 	 قلع
حَمَلَ 	 حمل
صَنِعَ 	 صنع
نَعِجَ 	 نعج
قَوِسَ 	 قوس
دَهِمَ 	 دهم
نَتَفَ 	 نتف
قَعَسَ 	 قعس
سَحِرَ 	 سحر
نَحَلَ 	 نحل
دَعَكَ 	 دعك
صَفِرَ 	 صفر
سَرِسَ 	 سرس
عَمَشَ 	 عمش
خَرَمَ 	 خرم
غَسِقَ 	 غسق
سَفِهَ 	 سفه
نَغَصَ 	 نغص
حَذَقَ 	 حذق
هَيِفَ 	 هيف
نَشِقَ 	 نشق
حَبِلَ 	 حبل
فَدَعَ 	 فدع
هَتَفَ 	 هتف
حَذَفَ 	 حذف
فَحَلَ 	 فحل
لَحِنَ 	 لحن
سَعَدَ 	 سعد
خَسَرَ 	 خسر
قَلِبَ 	 قلب
رَجَعَ 	 رجع
نَفَحَ 	 نفح
دَسَعَ 	 دسع
هَتَنَ 	 هتن
عَتَمَ 	 عتم
كَشَطَ 	 كشط
نَفَعَ 	 نفع
عَدَلَ 	 عدل
كَفَنَ 	 كفن
قَحِلَ 	 قحل
بَصَمَ 	 بصم
حَلِكَ 	 حلك
عَبِدَ 	 عبد
حَزَرَ 	 حزر
سَحَقَ 	 سحق
نَصَتَ 	 نصت
عَبِسَ 	 عبس
طَمَرَ 	 طمر
خَدَعَ 	 خدع
صَلَتَ 	 صلت
حَرِدَ 	 حرد
طَمَسَ 	 طمس
ظَهَرَ 	 ظهر
طَلِقَ 	 طلق
حَصِبَ 	 حصب
صَلِفَ 	 صلف
صَوِفَ 	 صوف
ضَغَثَ 	 ضغث
ذَرِعَ 	 ذرع
صَلَدَ 	 صلد
كَظَمَ 	 كظم
سَرِقَ 	 سرق
ظَعَنَ 	 ظعن
ظَفَرَ 	 ظفر
ظَفِرَ 	 ظفر
حَزَقَ 	 حزق
ظَلَفَ 	 ظلف
قَلِفَ 	 قلف
رَدَعَ 	 ردع
عَزَفَ 	 عزف
طَلِبَ 	 طلب
لَقِنَ 	 لقن
غَسَلَ 	 غسل
طَلَسَ 	 طلس
طَلِسَ 	 طلس
يَمِنَ 	 يمن
غَصَبَ 	 غصب
صَعِدَ 	 صعد
لَطَخَ 	 لطخ
ضَغَمَ 	 ضغم
ضَرِمَ 	 ضرم
نَحَسَ 	 نحس
ضَلَعَ 	 ضلع
صَقَعَ 	 صقع
ضَحَلَ 	 ضحل
ضَمَدَ 	 ضمد
خَنَعَ 	 خنع
ضَفَرَ 	 ضفر
ضَبَحَ 	 ضبح
جَوِفَ 	 جوف
نَدِمَ 	 ندم
صَفَحَ 	 صفح
صَهِبَ 	 صهب
عَبَطَ 	 عبط
قَصِفَ 	 قصف
حَدِبَ 	 حدب
فَرَزَ 	 فرز
عَتَبَ 	 عتب
