يُمْكِنُ 	 مكن
أَوْجَلَ 	 وجل
أَنْمَرَ 	 نمر
أَنْهَكَ 	 نهك
أَغْرَبَ 	 غرب
أَهْذَرَ 	 هذر
أَنْهَجَ 	 نهج
أَقْلَبَ 	 قلب
أَنْفَلَ 	 نفل
أَتْقَنَ 	 تقن
أَتْمَرَ 	 تمر
أَظْرَفَ 	 ظرف
أَقْطَرَ 	 قطر
أَتْبَعَ 	 تبع
أَبْهَمَ 	 بهم
أَنْهَضَ 	 نهض
أَبْهَجَ 	 بهج
أَرْعَبَ 	 رعب
أَعْشَبَ 	 عشب
أَنْفَشَ 	 نفش
أَتْرَعَ 	 ترع
أَدْعَصَ 	 دعص
أَوْغَرَ 	 وغر
أَوْجَزَ 	 وجز
أَنْفَدَ 	 نفد
أَثْمَنَ 	 ثمن
أَبْلَغَ 	 بلغ
أَعْجَلَ 	 عجل
أَتْحَفَ 	 تحف
أَخْلَدَ 	 خلد
أَلْطَفَ 	 لطف
أَمْسَكَ 	 مسك
أَسْكَتَ 	 سكت
أَخْضَبَ 	 خضب
أَسْفَرَ 	 سفر
أَثْقَلَ 	 ثقل
أَنْكَدَ 	 نكد
أَنْهَزَ 	 نهز
أَوْغَلَ 	 وغل
أَنْطَفَ 	 نطف
أَثْلَجَ 	 ثلج
أَسْهَمَ 	 سهم
أَقْرَبَ 	 قرب
أَنْظَرَ 	 نظر
أَضْنَكَ 	 ضنك
أَوْصَلَ 	 وصل
أَوْشَمَ 	 وشم
أَوْصَفَ 	 وصف
أَنْضَرَ 	 نضر
أَنْكَرَ 	 نكر
أَبْرَمَ 	 برم
أثْخَنَ 	 ثخن
أَسْبَغَ 	 سبغ
أَنْظَمَ 	 نظم
أَنْعَلَ 	 نعل
أَرْكَضَ 	 ركض
أَوْهَنَ 	 وهن
أَنْجَزَ 	 نجز
أَنْدَبَ 	 ندب
تَعَلَّلَ 	 علل
تَدَهْوَرَ 	 دهور
تَبَرَّكَ 	 برك
تَتَوَّجَ 	 توج
تَوَلَّعَ 	 ولع
تَكَرَّشَ 	 كرش
تَفَصَّحَ 	 فصح
تَجَمْهَرَ 	 جمه
تَبَرَّزَ 	 برز
تَلَحَّفَ 	 لحف
تَتَلْمَذَ 	 تلمذ
تَهَوَّرَ 	 هور
تَقَصَّفَ 	 قصف
تَكَحَّلَ 	 كحل
تَعَسَّفَ 	 عسف
تَشَوَّقَ 	 شوق
تَعَهَّدَ 	 عهد
تَعَمَّجَ 	 عمج
تَشَنَّجَ 	 شنج
تَوَرَّطَ 	 ورط
تَحَسَّنَ 	 حسن
تَعَصَّبَ 	 عصب
تَوَهَّجَ 	 وهج
تَعَفَّفَ 	 عفف
تَجَلْبَبَ 	 جلب
تَزَحْزَحَ 	 زحزح
تَصَلَّبَ 	 صلب
تَحَبَّرَ 	 حبر
تَرَبَّلَ 	 ربل
تَجَلَّدَ 	 جلد
تَقَمَّصَ 	 قمص
تَعَقَّدَ 	 عقد
تَصَوَّرَ 	 صور
تَجَشَّمَ 	 جشم
تَعَقَّلَ 	 عقل
تَبَلْبَلَ 	 بلبل
تَعَمَّدَ 	 عمد
تَقَيَّنَ 	 قين
تَكَنَّسَ 	 كنس
تَبَسَّمَ 	 بس م
تَعَمَّقَ 	 عمق
تَضَعْضَعَ 	 ضعضع
تَشَمَّمَ 	 شمم
تَبَلَّلَ 	 بلل
تَعَقَّبَ 	 عقب
تَبَصَّرَ 	 بصر
تَشَقَّقَ 	 شقق
تَبَيَّضَ 	 بيض
تَصَبَّنَ 	 صبن
تَمَدْيَنَ 	 مدن
تَوَرَّدَ 	 ورد
تَصَرَّفَ 	 صرف
تَهَزَّمَ 	 هزم
تَطَرَّبَ 	 طرب
تَصَيَّدَ 	 صيد
تَلَيَّثَ 	 ليث
تَصَنَّعَ 	 صنع
تَعَفْرَتَ 	 عفر
تَشَرَّدَ 	 شرد
تَحَجَّرَ 	 حجر
تَدَرْوَشَ 	 درش
تَحَسَّسَ 	 حسس
تَضَمَّدَ 	 ضمد
تَشَيَّعَ 	 شيع
تَضَوَّعَ 	 ضوع
تَحَبَّبَ 	 حبب
تَقَوَّلَ 	 قول
تَوَغَّرَ 	 وغر
تَفَلْسَفَ 	 فلسف
تَسَهَّلَ 	 سهل
تَصَبَّحَ 	 صبح
تَدَعْدَعَ 	 دعد
تَعَطَّفَ 	 عطف
تَشَوَّهَ 	 شوه
تَكَلَّلَ 	 كلل
تَيَتَّمَ 	 يتم
تَقَوَّمَ 	 قوم
تَطَرَّفَ 	 طرف
تَتَرَّبَ 	 ترب
تَلَمَّسَ 	 لمس
تَبَلَّهَ 	 بله
تَبَهْرَجَ 	 بهرج
تَبَهَّرَ 	 بهر
تَيَمَّنَ 	 يمن
تَنَحْنَحَ 	 نحنح
تَفَرْنَجَ 	 فرنج
تَبَلَّغَ 	 بلغ
تَضَخَّمَ 	 ضخم
تَصَعَّبَ 	 صعب
تَعَيَّنَ 	 عين
تَسَتَّرَ 	 ستر
تَزَمَّلَ 	 زمل
تَمَيَّسَ 	 ميس
تَعَفَّرَ 	 عفر
تَضَرَّجَ 	 ضرج
تَضَرَّرَ 	 ضرر
تَحَيَّزَ 	 حيز
تَخَضَّبَ 	 خضب
تَخَمَّرَ 	 خمر
تَنَجَّمَ 	 نجم
تَبَيَّنَ 	 بين
تَجَفَّفَ 	 جفف
تَمَوَّلَ 	 مول
تَنَفَّسَ 	 نفس
تَخَيَّرَ 	 خير
تَقَحَّمَ 	 قحم
تَرَجَّعَ 	 رجع
تَصَفَّحَ 	 صفح
تَطَبَّعَ 	 طبع
تَبَهَّجَ 	 بهج
تَرَجَّحَ 	 رجح
تَعَوَّقَ 	 عوق
تَعَوَّذَ 	 عوذ
تَدَثَّرَ 	 دثر
تَقَبَّبَ 	 قبب
تَوَجَّهَ 	 وجه
تَثَبَّتَ 	 ثبت
تَدَجَّجَ 	 دجج
تَذَبْذَبَ 	 ذبذ
تَخَيَّمَ 	 خيم
تَدَفَّقَ 	 دفق
تَأَمْرَكَ 	 أمرك
تَخَلْخَلَ 	 خلخل
تَدَرَّعَ 	 درع
تَجَمَّعَ 	 جمع
تَسَوَّسَ 	 سوس
تَكَلَّمَ 	 كلم
تَغَضَّنَ 	 غضن
تَقَيَّضَ 	 قيض
تَحَسَّبَ 	 حسب
تَعَصَّرَ 	 عصر
تَخَصَّصَ 	 خصص
تَعَلَّمَ 	 علم
تَحَرَّرَ 	 حرر
تَبَرَّعَ 	 برع
تَجَوْرَبَ 	 جورب
تَعَبَّدَ 	 عبد
تَفَسَّخَ 	 فسخ
تَبَعْثَرَ 	 بعثر
تَرَفَّهَ 	 رفه
تَمَيَّدَ 	 ميد
تَحَزَّبَ 	 حزب
تَرَحَّمَ 	 رحم
تَكَهَّفَ 	 كهف
تَخَيَّلَ 	 خيل
تَبَخْتَرَ 	 بختر
تَرَزَّنَ 	 رزن
تَقَوَّسَ 	 قوس
تَرَجَّفَ 	 رجف
تَكَرَّسَ 	 كرس
تَطَوَّعَ 	 طوع
تَدَخَّنَ 	 دخن
تَلَبْنَنَ 	 لبنن
تَدَلَّكَ 	 دلك
تَرَوَّعَ 	 روع
تَسَوَّقَ 	 سوق
تَوَعَّرَ 	 وعر
تَوَلْوَلَ 	 ولول
تَحَرَّقَ 	 حرق
تَثَلَّمَ 	 ثلم
تَبَرَّجَ 	 برج
تَفَتَّتَ 	 فتت
تَدَرَّبَ 	 درب
تَخَلَّقَ 	 خلق
تَكَهْرَبَ 	 كهر
تَوَحَّلَ 	 وحل
تَأَرْجَحَ 	 رجح
تَضَلَّعَ 	 ضلع
تَطَوَّفَ 	 طوف
تَلَقَّنَ 	 لقن
تَقَصَّصَ 	 قصص
تَثَقَّفَ 	 ثقف
تَثَلَّجَ 	 ثلج
تَتَوَّقَ 	 توق
تَجَبَّنَ 	 جبن
تَهَدَّدَ 	 هدد
تَقَصَّدَ 	 قصد
تَكَيَّسَ 	 كيس
تَجَهَّزَ 	 جهز
تَجَدَّدَ 	 جدد
تَجَسَّدَ 	 جسد
تَوَدَّعَ 	 ودع
تَمَلَّقَ 	 ملق
تَخَفَّفَ 	 خفف
تَنَجَّحَ 	 نجح
تَجَرَّعَ 	 جرع
تَخَلَّلَ 	 خلل
تَبَلَّجَ 	 بلج
تَجَوَّعَ 	 جوع
تَنَكَّبَ 	 نكب
تَذَمَّرَ 	 ذمر
تَهَذَّبَ 	 هذب
تَكَشَّفَ 	 كشف
تَنَصَّفَ 	 نصف
تَمَرَّدَ 	 مرد
تَمَكَّنَ 	 مكن
تَبَسَّطَ 	 بسط
تَحَدَّرَ 	 حدر
تَكَفَّلَ 	 كفل
تَعَجْرَفَ 	 عجر
تَعَجَّبَ 	 عجب
تَلَفَّتَ 	 لفت
تَوَغَّلَ 	 وغل
تَأَكْسَدَ 	 أكسد
تَبَحَّرَ 	 بحر
تَنَصَّبَ 	 نصب
تَسَلَّلَ 	 سلل
تَلَبَّثَ 	 لبث
تَمَنَّعَ 	 منع
تَبَدَّلَ 	 بدل
تَعَوَّدَ 	 عود
تَبَدَّدَ 	 بدد
تَهَتَّكَ 	 هتك
تَبَجَّحَ 	 بجح
تَدَرَّجَ 	 درج
تَشَعَّبَ 	 شعب
تَمَسْلَمَ 	 سلم
تَفَقَّمَ 	 فقم
تَصَدَّعَ 	 صدع
تَلَهَّبَ 	 لهب
تَدَنَّسَ 	 دنس
تَجَمَّدَ 	 جمد
تَحَلَّقَ 	 حلق
تَبَيْطَرَ 	 بيطر
تَعَذَّبَ 	 عذب
تَوَزَّرَ 	 وزر
تَهَلَّلَ 	 هلل
تَعَطَّرَ 	 عطر
تَسَفَّرَ 	 سفر
تَلَطَّخَ 	 لطخ
تَنَهَّدَ 	 نهد
تَذَلَّلَ 	 ذلل
تَدَهَّنَ 	 دهن
تَوَسَّعَ 	 وسع
تَطَرَّزَ 	 طرز
تَصَنَّفَ 	 صنف
تَفَكَّهَ 	 فكه
تَحَفَّظَ 	 حفظ
تَحَدَّبَ 	 حدب
تَحَلَّلَ 	 حلل
تَشَكَّرَ 	 شكر
تَقَزَّزَ 	 قزز
تَنَطَّعَ 	 نطع
تَعَفَّنَ 	 عفن
تَوَقَّدَ 	 وقد
تَرَوَّحَ 	 روح
تَنَشَّدَ 	 نشد
تَعَشَّقَ 	 عشق
تَلَزَّجَ 	 لزج
تَصَبَّبَ 	 صبب
تَرَكَّبَ 	 ركب
تَزَمْزَمَ 	 زمزم
تَنَطَّقَ 	 نطق
تَكَمْكَمَ 	 كمكم
تَخَنْدَقَ 	 خندق
تَجَعَّدَ 	 جعد
تَرَسَّلَ 	 رسل
تَشَبَّثَ 	 شبث
تَفَرَّدَ 	 فرد
تَطَرَّقَ 	 طرق
تَوَسَّمَ 	 وسم
تَنَكَّرَ 	 نكر
تَدَسَّسَ 	 دسس
تَغَطْرَسَ 	 غطر
تَرَقْرَقَ 	 رقرق
تَقَلَّدَ 	 قلد
تَغَيَّرَ 	 غير
تَشَمَّسَ 	 شمس
تَعَرَّقَ 	 عرق
تَوَجَّبَ 	 وجب
تَطَلَّبَ 	 طلب
تَمَعَّنَ 	 معن
تَنَشَّبَ 	 نشب
تَغَمَّدَ 	 غمد
تَبَرَّدَ 	 برد
تَكَسَّرَ 	 كسر
تَمَصَّرَ 	 مصر
تَشَتَّتَ 	 شتت
تَبَرَّرَ 	 برر
تَمَرَّغَ 	 مرغ
تَكَثَّمَ 	 كثم
تَنَصَّرَ 	 نصر
تَجَنَّنَ 	 جنن
تَلَجَّنَ 	 لجن
تَغَضَّبَ 	 غضب
تَفَقْفَقَ 	 فقف
تَهَيَّمَ 	 هيم
تَرَسَّخَ 	 رسخ
تَكَتَّلَ 	 كتل
تَقَطَّعَ 	 قطع
تَكَرَّمَ 	 كرم
تَحَقَّقَ 	 حقق
تَمَطَّرَ 	 مطر
تَحَمَّمَ 	 حمم
تَوَطَّدَ 	 وطد
تَنَجَّدَ 	 نجد
تَسَلَّطَ 	 سلط
تَكَبَّدَ 	 كبد
تَنَزَّهَ 	 نزه
تَمَقَّتَ 	 مقت
تَفَضَّلَ 	 فضل
تَزَنْدَقَ 	 زند
تَبَلَّعَ 	 بلع
تَنَصَّلَ 	 نصل
تَخَثَّرَ 	 خثر
تَقَيَّحَ 	 قيح
تَمَدَّنَ 	 مدن
تَنَدَّمَ 	 ندم
تَلَعْلَعَ 	 لعلع
تَخَرَّمَ 	 خرم
تَفَتَّكَ 	 فتك
تَغَنَّمَ 	 غنم
تَحَرَّكَ 	 حرك
تَقَوَّتَ 	 قوت
تَعَلَّقَ 	 علق
تَزَيَّنَ 	 زين
تَقَيَّلَ 	 قيل
تَحَطَّمَ 	 حطم
تَضَوَّرَ 	 ضور
تَصَدَّرَ 	 صدر
تَقَلَّبَ 	 قلب
تَصَوَّفَ 	 صوف
تَكَتْكَتَ 	 كتك
تَعَزَّزَ 	 عزز
تَنَمَّرَ 	 نمر
تَمَلْمَلَ 	 ململ
تَمَيَّزَ 	 ميز
تَعَبَّسَ 	 عبس
تَظَلَّلَ 	 ظلل
تَسَهَّدَ 	 سهد
تَصَدَّقَ 	 صدق
تَسَمَّمَ 	 سمم
تَرَنَّمَ 	 رنم
تَعَظَّلَ 	 عظل
تَخَلَّصَ 	 خلص
تَقَضَّبَ 	 قضب
تَسَلَّحَ 	 سلح
تَزَمْخَرَ 	 زمخ
تَسَوَّرَ 	 سور
تَكَعَّبَ 	 كعب
تَسَدَّرَ 	 سدر
تَرَمَّمَ 	 رمم
تَزَوَّدَ 	 زود
تَحَذَّقَ 	 حذق
تَسَبَّبَ 	 سبب
تَبَلَّدَ 	 بلد
تَحَرَّزَ 	 حرز
تَرَوَّلَ 	 رول
تَعَرَّفَ 	 عرف
تَسَرَّبَ 	 سرب
تَمَرْكَزَ 	 مركز
تَعَرَّضَ 	 عرض
تَسَدَّدَ 	 سدد
تَسَرْبَلَ 	 سربل
تَرَشَّشَ 	 رشش
تَرَصَّفَ 	 رصف
تَسَلْطَنَ 	 سلطن
تَرَنَّقَ 	 رنق
تَرَمْرَمَ 	 رمرم
تَرَمَّلَ 	 رمل
تَمَرْفَقَ 	 رفق
تَحَرَّجَ 	 حرج
تَرَعْبَلَ 	 رعب
تَغَمْغَمَ 	 غمغم
تَرَسَّمَ 	 رسم
تَجَسَّمَ 	 جسم
تَرَطَّبَ 	 رطب
تَقَشَّطَ 	 قشط
تَفَصَّدَ 	 فصد
تَجَنَّبَ 	 جنب
تَقَهْقَرَ 	 قهقر
تَرَيَّضَ 	 روض
تَعَرْقَلَ 	 عرقل
تَعَرَّجَ 	 عرج
تَبَضَّعَ 	 بضع
تَعَثَّرَ 	 عثر
تَنَشَّرَ 	 نشر
تَجَبَّرَ 	 جبر
تَظَلَّمَ 	 ظلم
تَطَوَّسَ 	 طوس
تَطَيَّبَ 	 طيب
تَسَلَّقَ 	 سلق
تَطَيَّفَ 	 طيف
تَزَلَّفَ 	 زلف
تَزَخْرَفَ 	 زخرف
تَيَقَّنَ 	 يقن
تَرَيَّثَ 	 ريث
تَرَوَّضَ 	 روض
تَرَشَّحَ 	 رشح
تَوَسَّخَ 	 وسخ
تَفَقَّصَ 	 فقص
تَعَجَّنَ 	 عجن
تَعَرَّبَ 	 عرب
تَمَهَّلَ 	 مهل
تَشَعَّلَ 	 شعل
تَقَطَّرَ 	 قطر
تَعَدَّدَ 	 عدد
تَعَذَّرَ 	 عذر
تَلَقَّطَ 	 لقط
تَنَقَّصَ 	 نقص
تَسَلَّفَ 	 سلف
تَسَخَّرَ 	 سخر
تَلَقَّفَ 	 لقف
تَهَزَّعَ 	 هزع
تَفَيَّشَ 	 فيش
تَقَبَّلَ 	 قبل
تَسَفَّدَ 	 سفد
تَسَفَّلَ 	 سفل
تَشَمَّرَ 	 شمر
تَمَجَّدَ 	 مجد
تَدَلَّهَ 	 دله
تَسَنَّمَ 	 سنم
تَسَلَّمَ 	 سلم
تَمَيَّعَ 	 ميع
تَجَنَّدَ 	 جند
تَحَسَّرَ 	 حسر
تَنَقَّذَ 	 نقذ
تَهَوَّدَ 	 هود
تَغَرَّبَ 	 غرب
تَخَطَّفَ 	 خطف
تَلَجَّجَ 	 لجج
تَأَقْلَمَ 	 أفلم
تَلَغَّمَ 	 لغم
تَعَسَّرَ 	 عسر
تَفَكَّرَ 	 فكر
تَسَيْطَرَ 	 سيطر
تَمَدْرَسَ 	 درس
تَكَسَّبَ 	 كسب
تَشَبَّكَ 	 شبك
تَعَلَّفَ 	 علف
تَدَبَّرَ 	 دبر
تَسَلَّخَ 	 سلخ
تَزَهَّدَ 	 زهد
تَسَوَّلَ 	 سول
تَسَنَّنَ 	 سنن
تَرَكَّلَ 	 ركل
تَرَقَّبَ 	 رقب
تَوَسَّدَ 	 وسد
تَفَرَّسَ 	 فرس
تَشَبَّبَ 	 شبب
تَهَفْهَفَ 	 هفهف
تَرَقَّقَ 	 رقق
تَقَرَّبَ 	 قرب
تَحَذْلَقَ 	 حذلق
تَسَكَّعَ 	 سكع
تَصَعْلَكَ 	 صعل
تَعَجَّلَ 	 عجل
تَسَرْوَلَ 	 سرول
تَرَنَّحَ 	 رنح
تَهَدَّجَ 	 هدج
تَشَخَّصَ 	 شخص
تَشَعْشَعَ 	 شعشع
تَشَرَّفَ 	 شرف
تَشَفَّعَ 	 شفع
تَسَلْسَلَ 	 سلسل
تَعَكَّزَ 	 عكز
تَشَذَّبَ 	 شذب
تَفَلَّقَ 	 فلق
تَقَشَّعَ 	 قشع
تَقَشَّفَ 	 قشف
تَغَفَّلَ 	 غفل
تَجَهَّمَ 	 جهم
تَقَشَّرَ 	 قشر
تَقَرْفَصَ 	 قرفص
تَحَفَّزَ 	 حفز
تَرَسَّبَ 	 رسب
تَجَرَّدَ 	 جرد
تَغَيَّلَ 	 غيل
تَجَلَّلَ 	 جلل
تَغَلَّفَ 	 غلف
تَوَكَّدَ 	 وكد
تَغَطْرَفَ 	 غطر
تَقَلَّعَ 	 قلع
تَقَعَّرَ 	 قعر
تَمَتَّعَ 	 متع
تَفَلَّحَ 	 فلح
تَنَغَّصَ 	 نغص
تَسَرَّحَ 	 سرح
تَوَرَّعَ 	 ورع
تَقَنَّصَ 	 قنص
تَقَنَّعَ 	 قنع
تَقَوَّضَ 	 قوض
تَهَوَّشَ 	 هوش
تَفَوَّقَ 	 فوق
تَجَمَّلَ 	 جمل
تَزَحْلَقَ 	 زحلق
تَسَفَّهَ 	 سفه
تَفَصَّلَ 	 فصل
تَفَسَّحَ 	 فسح
تَهَزْهَزَ 	 هزه
تَحَمَّلَ 	 حمل
تَفَرْعَنَ 	 فرعن
تَنَسَّكَ 	 نسك
تَفَزَّرَ 	 فزر
تَفَتَّلَ 	 فتل
تَفَرْنَسَ 	 فرنس
تَفَتَّحَ 	 فتح
تَتَبَّعَ 	 تبع
تَوَسَّطَ 	 وسط
تَقَعَّدَ 	 قعد
تَفَتَّقَ 	 فتق
تَزَمَّتَ 	 زمت
تَحَنَّثَ 	 حنث
تَشَبَّهَ 	 شبه
تَغَنَّجَ 	 غنج
تَغَيَّمَ 	 غيم
تَعَوَّضَ 	 عوض
تَعَيَّشَ 	 عيش
تَفَرَّقَ 	 فرق
تَفَرْقَعَ 	 فرقع
تَضَرَّعَ 	 ضرع
تَغَشَّمَ 	 غشم
تَدَيَّنَ 	 دين
تَمَغْرَبَ 	 غرب
تَعَزَّبَ 	 عزب
تَوَجَّعَ 	 وجع
تَنَفَّشَ 	 نفش
تَوَحَّدَ 	 وحد
تَزَبَّبَ 	 زبب
تَهَلْهَلَ 	 هلهل
تَوَحَّشَ 	 وحش
تَعَوَّجَ 	 عوج
تَمَزَّقَ 	 مزق
تَغَيَّبَ 	 غيب
تَهَوَّمَ 	 هوم
تَشَوَّفَ 	 شوف
تَوَرَّعَ 	 ورع
تَوَرَّكَ 	 ورك
تَصَرَّمَ 	 صرم
تَهَدَّمَ 	 هدم
تَنَوَّمَ 	 نوم
تَكَتَّفَ 	 كتف
تَهَدَّلَ 	 هدل
تَهَكَّمَ 	 هكم
تَنَقَّدَ 	 نقد
تَنَزَّلَ 	 نزل
تَهَطَّلَ 	 هطل
تَهَجَّرَ 	 هجر
تَهَجَّمَ 	 هجم
تَفَرَّعَ 	 فرع
تَرَقَّعَ 	 رقع
تَوَكَّلَ 	 وكل
تَنَوَّعَ 	 نوع
تَهَجَّدَ 	 هجد
تَكَيَّفَ 	 كيف
تَضَرَّمَ 	 ضرم
تَنَفَّطَ 	 نفط
تَفَحَّشَ 	 فحش
تَكَفَّنَ 	 كفن
تَقَدَّدَ 	 قدد
تَقَدَّرَ 	 قدر
تَقَدَّسَ 	 قدس
تَفَقَّهَ 	 فقه
تَفَلَّتَ 	 فلت
تَزَلَّجَ 	 زلج
تَمَنَّنَ 	 منن
تَرَصَّدَ 	 رصد
تَفَتَّرَ 	 فتر
تَزَعَّمَ 	 زعم
تَوَظَّفَ 	 وظف
تَوَتَّرَ 	 وتر
تَحَزَّمَ 	 حزم
تَهَوَّسَ 	 هوس
تَهَيَّجَ 	 هيج
تَوَثَّقَ 	 وثق
تَفَجَّرَ 	 فجر
تَجَوَّدَ 	 جود
تَفَهَّمَ 	 فهم
تَكَرَّرَ 	 كرر
تَوَجَّدَ 	 وجد
تَوَجَّسَ 	 وجس
تَحَيَّرَ 	 حير
تَفَوَّهَ 	 فوه
تَلَمْلَمَ 	 لملم
تَدَخَّلَ 	 دخل
تَشَدَّدَ 	 شدد
تَمَنْدَلَ 	 مندل
تَمَكَّثَ 	 مكث
تَكَفْكَفَ 	 كفكف
تَفَطَّنَ 	 فطن
تَشَهَّدَ 	 شهد
تَكَنَّفَ 	 كنف
تَشَبَّعَ 	 شبع
تَغَرْغَرَ 	 غرغر
تَنَظَّفَ 	 نظف
تَمَرْمَرَ 	 مرمر
تَضَمَّرَ 	 ضمر
تَطَهَّرَ 	 طهر
تَخَرَّقَ 	 خرق
تَكَبَّرَ 	 كبر
تَدَلَّلَ 	 دلل
تَبَلْوَرَ 	 بلور
تَحَجَّبَ 	 حجب
تَسَقَّطَ 	 سقط
تَيَقَّظَ 	 يقظ
تَكَفَّفَ 	 كفف
تَحَضَّرَ 	 حضر
تَكَشَّرَ 	 كشر
تَعَطَّلَ 	 عطل
تَنَكَّدَ 	 نكد
تَكَرْكَرَ 	 كركر
تَقَرَّرَ 	 قرر
تَجَيَّشَ 	 جيش
تَغَيَّظَ 	 غيظ
تَرَفَّقَ 	 رفق
تَطَوَّلَ 	 طول
تَشَيْطَنَ 	 شطن
تَسَطَّحَ 	 سطح
تَغَرَّدَ 	 غرد
تَنَكَّسَ 	 نكس
تَبَتَّلَ 	 بتل
تَرَهَّبَ 	 رهب
تَمَضْمَضَ 	 مضمض
تَمَرَّعَ 	 مرع
تَرَفَّلَ 	 رفل
تَهَرْطَقَ 	 هرط
تَقَمَّمَ 	 قمم
تَشَوَّشَ 	 شوش
تَمَذْهَبَ 	 ذهب
تَمَثَّلَ 	 مثل
تَيَمَّمَ 	 يمم
تَسَكَّنَ 	 سكن
تَضَيَّقَ 	 ضيق
تَكَرَّهَ 	 كره
تَلَوَّحَ 	 لوح
تَقَبَّضَ 	 قبض
تَوَهَّدَ 	 وهد
تَغَزَّلَ 	 غزل
تَوَطَّنَ 	 وطن
تَيَفَّعَ 	 يفع
تَحَمَّسَ 	 حمس
تَلَثَّمَ 	 لثم
تَمَوَّجَ 	 موج
تَلَهَّفَ 	 لهف
تَنَوَّرَ 	 نور
تَنَصَّحَ 	 نصح
تَخَوَّفَ 	 خوف
تَلَحَّحَ 	 لحح
تَشَكَّلَ 	 شكل
تَكَهَّنَ 	 كهن
تَكَمَّلَ 	 كمل
تَنَعَّلَ 	 نعل
تَعَظَّمَ 	 عظم
تَدَحْرَجَ 	 دحرج
تَكَلَّسَ 	 كلس
تَكَلَّفَ 	 كلف
تَفَجَّعَ 	 فجع
تَذَوَّقَ 	 ذوق
تَلَبَّكَ 	 لبك
تَذَرَّعَ 	 ذرع
تَشَدَّقَ 	 شدق
تَفَخَّرَ 	 فخر
تَفَرَّجَ 	 فرج
تَغَلْغَلَ 	 غلغل
تَكَوْثَرَ 	 كثر
تَلَبَّبَ 	 لبب
تَفَحَّصَ 	 فحص
تَوَصَّلَ 	 وصل
تَلَبَّدَ 	 لبد
تَلَبَّسَ 	 لبس
تَصَحَّحَ 	 صحح
تَشَمَّتَ 	 شمت
تَهَدَّبَ 	 هدب
تَكَدَّسَ 	 كدس
تَلَقَّبَ 	 لقب
تَطَلَّعَ 	 طلع
تَلَطَّفَ 	 لطف
تَلَطَّمَ 	 لطم
تَقَيَّدَ 	 قيد
تَقَيَّفَ 	 قيف
تَجَسَّسَ 	 جسس
تَكَثَّرَ 	 كثر
تَكَرْبَعَ 	 كرب
تَرَبَّصَ 	 ربص
تَكَدَّرَ 	 كدر
تَلَمَّعَ 	 لمع
تَلَمَّقَ 	 لمق
تَلَصَّصَ 	 لصص
تَرَكَّنَ 	 ركن
تَزَلْزَلَ 	 زلزل
تَشَكَّكَ 	 شكك
تَلَفْلَفَ 	 لفلف
تَنَبَّهَ 	 نبه
تَلَدَّنَ 	 لدن
تَلَعْثَمَ 	 لعثم
تَلَقَّمَ 	 لقم
تَعَمَّمَ 	 عمم
تَغَلَّبَ 	 غلب
تَنَقَّضَ 	 نقض
تَلَوَّهَ 	 لوه
تَلَمَّجَ 	 لمج
تَمَدَّدَ 	 مدد
تَرَعْرَعَ 	 رعرع
تَمَوَّنَ 	 مون
تَكَوَّنَ 	 كون
تَصَبَّرَ 	 صبر
تَخَنَّثَ 	 خنث
تَثَمَّلَ 	 ثمل
تَسَمَّرَ 	 سمر
تَجَوَّلَ 	 جول
تَوَقَّحَ 	 وقح
تَوَلَّدَ 	 ولد
تَوَحَّمَ 	 وحم
تَمَرَّسَ 	 مرس
تَمَنْطَقَ 	 نطق
تَكَبَّسَ 	 كبس
تَلَجْلَجَ 	 لجلج
تَنَتَّفَ 	 نتف
تَنَظَّرَ 	 نظر
تَنَغَّمَ 	 نغم
تَوَقَّعَ 	 وقع
تَبَرَّمَ 	 برم
تَقَلَّصَ 	 قلص
تَنَضَّدَ 	 نضد
تَنَظَّمَ 	 نظم
تَفَرَّغَ 	 فرغ
تَمَوَّهَ 	 موه
تَشَلْشَلَ 	 شلشل
تَخَشَّعَ 	 خشع
تَمَهَّدَ 	 مهد
تَمَهَّرَ 	 مهر
تَشَعَّثَ 	 شعث
تَمَغَّصَ 	 مغص
تَرَبَّعَ 	 ربع
تَضَمَّخَ 	 ضمخ
تَهَيَّبَ 	 هيب
تَخَبَّرَ 	 خبر
تَكَذَّبَ 	 كذب
تَمَطَّقَ 	 مطق
تَصَيَّفَ 	 صيف
تَعَدَّدَ 	 عدد
تَمَجَّنَ 	 مجن
تَلَوَّمَ 	 لوم
تَلَوَّنَ 	 لون
تَلَوَّثَ 	 لوث
تَمَحَّصَ 	 محص
تَمَوَّرَ 	 مور
تَنَمَّلَ 	 نمل
تَرَتَّبَ 	 رتب
تَلَيَّنَ 	 لين
تَسَوَّلَ 	 سأل
تَمَخَّضَ 	 مخض
تَشَجَّعَ 	 شجع
تَمَيَّلَ 	 ميل
تَحَدَّثَ 	 حدث
تَحَشَّدَ 	 حشد
تَخَشَّبَ 	 خشب
تَحَصَّنَ 	 حصن
تَسَمَّعَ 	 سمع
تَحَصَّلَ 	 حصل
تَحَلَّبَ 	 حلب
تَذَكَّرَ 	 ذكر
تَفَلَّجَ 	 فلج
تَحَلْحَلَ 	 حلحل
تَوَقَّرَ 	 وقر
تَحَكَّمَ 	 حكم
تَحَيَّزَ 	 حيز
تَلَفَّظَ 	 لفظ
تَنَضَّحَ 	 نضح
تَلَقَّحَ 	 لقح
